Date,Time,Flow Rate,Flow Rate,accuracy
11/05/2020,12:23:36,116.940186,116.940186,0.00%
11/05/2020,12:23:37,117.006393,117.006393,0.00%
11/05/2020,12:23:38,117.006393,117.006393,0.00%
11/05/2020,12:23:39,117.006393,117.006393,0.00%
11/05/2020,12:23:40,116.936821,116.936821,0.00%
11/05/2020,12:23:41,116.936821,116.936821,0.00%
11/05/2020,12:23:42,116.940186,116.940186,0.00%
11/05/2020,12:23:43,116.936821,116.936821,0.00%
11/05/2020,12:23:44,116.940186,116.940186,0.00%
11/05/2020,12:23:45,116.940186,116.940186,0.00%
11/05/2020,12:23:46,116.940186,116.940186,0.00%
11/05/2020,12:23:47,116.940186,116.940186,0.00%
11/05/2020,12:23:48,116.867256,116.867256,0.00%
11/05/2020,12:23:49,116.940186,116.940186,0.00%
11/05/2020,12:23:50,117.006393,117.006393,0.00%
11/05/2020,12:23:51,116.936821,116.936821,0.00%
11/05/2020,12:23:52,116.867256,116.867256,0.00%
11/05/2020,12:23:53,116.870621,116.870621,0.00%
11/05/2020,12:23:54,116.936821,116.936821,0.00%
11/05/2020,12:23:55,116.936821,116.936821,0.00%
11/05/2020,12:23:56,116.936821,116.936821,0.00%
11/05/2020,12:23:57,116.936821,116.936821,0.00%
11/05/2020,12:23:58,116.936821,116.936821,0.00%
11/05/2020,12:23:59,116.936821,116.936821,0.00%
11/05/2020,12:24:00,116.867256,116.867256,0.00%
11/05/2020,12:24:01,116.867256,116.867256,0.00%
11/05/2020,12:24:02,116.867256,116.867256,0.00%
11/05/2020,12:24:03,116.867256,116.867256,0.00%
11/05/2020,12:24:04,116.936821,116.936821,0.00%
11/05/2020,12:24:05,116.936821,116.936821,0.10%
11/05/2020,12:24:06,116.936821,116.936821,0.10%
11/05/2020,12:24:07,116.867256,116.867256,0.10%
11/05/2020,12:24:08,116.867256,116.867256,0.10%
11/05/2020,12:24:09,116.867256,116.867256,0.10%
11/05/2020,12:24:10,116.936821,116.936821,0.10%
11/05/2020,12:24:11,116.936821,116.936821,0.10%
11/05/2020,12:24:12,116.867256,116.867256,0.10%
11/05/2020,12:24:13,116.867256,116.867256,0.10%
11/05/2020,12:24:14,116.867256,116.867256,0.10%
11/05/2020,12:24:15,116.867256,116.867256,0.10%
11/05/2020,12:24:16,116.867256,116.867256,0.10%
11/05/2020,12:24:17,116.867256,116.867256,0.10%
11/05/2020,12:24:18,116.867256,116.867256,0.10%
11/05/2020,12:24:19,116.867256,116.867256,0.10%
11/05/2020,12:24:20,116.867256,116.867256,0.10%
11/05/2020,12:24:21,116.867256,116.867256,0.10%
11/05/2020,12:24:22,116.867256,116.867256,0.10%
11/05/2020,12:24:23,116.867256,116.867256,0.10%
11/05/2020,12:24:24,116.797684,116.797684,0.10%
11/05/2020,12:24:25,116.867256,116.867256,0.10%
11/05/2020,12:24:26,116.867256,116.867256,0.10%
11/05/2020,12:24:27,116.867256,116.867256,0.10%
11/05/2020,12:24:28,116.867256,116.867256,0.10%
11/05/2020,12:24:29,116.867256,116.867256,0.10%
11/05/2020,12:24:30,116.797684,116.797684,0.10%
11/05/2020,12:24:31,116.867256,116.867256,0.10%
11/05/2020,12:24:32,116.867256,116.867256,0.10%
11/05/2020,12:24:33,116.867256,116.867256,0.10%
11/05/2020,12:24:34,116.867256,116.867256,0.10%
11/05/2020,12:24:35,116.867256,116.867256,0.10%
11/05/2020,12:24:36,116.867256,116.867256,0.10%
11/05/2020,12:24:37,116.867256,116.867256,0.10%
11/05/2020,12:24:38,116.867256,116.867256,0.10%
11/05/2020,12:24:39,116.867256,116.867256,0.10%
11/05/2020,12:24:40,116.867256,116.867256,0.10%
11/05/2020,12:24:41,116.867256,116.867256,0.10%
11/05/2020,12:24:42,116.797684,116.797684,0.10%
